"黒い","くろい","Black"
"黄色い","きいろい","Yellow"
"高い","たかい","Expensive, tall"
"頭がいい","あたまがいい","Clever, Smart"
"静か「な」","しずか「な」","Quiet"
"青い","あおい","Blue"
"難しい","むずかしい","Difficult"
"長い","ながい","Long"
"重い","おもい","Heavy"
"酸っぱい","すっぱい","Sour (taste)"
"都合が悪い","つごうがわるい","Inconvenient [time]"
"都合がいい","つごうがいい","Convenient [time]"
"遠い","とおい","Far"
"遅い","おそい","Slow, Late"
"速い","はやい","Fast, Early"
"近い","ちかい","Near"
"辛い","からい","Spicy, Hot (taste)"
"軽い","かるい","Light (Weight)"
"赤い","あかい","Red"
"調子が悪い","ちょうしがわるい","Be in Bad condition"
"調子がいい","ちょうしがいい","Be in Good condition"
"親切「な」","しんせつ「な」","Kind"
"薄い","うすい","Thin, weak (in taste)"
"茶色い","ちゃいろい","Brown"
"苦い","にがい","Bitter (taste)"
"若い","わかい","Young"
"背が高い","せがたかい","Tall (referring to a person)"
"緑","みどり","Green"
"紫","むらさき","Purple"
"簡単「な」","かんたん「な」","Easy, Simple"
"短い","みじかい","Short"
"眠い","ねむい","Sleepy"
"白い","しろい","White"
"甘い","あまい","Sweet"
"狭い","せまい","Narrow, Small"
"濃い","こい","Thick, strong (in taste)"
"涼しい","すずしい","Cool"
"気分が悪い","きぶんがわるい","Feel ill"
"気分がいい","きぶんがいい","Feel well"
"欲しい","ほしい","Want"
"楽しい","たのしい","Enjoyable, fun"
"有名「な」","ゆうめい「な」","Famous"
"暗い","くらい","Dark"
"暖かい","あたたかい","Warm"
"暑い","あつい","Hot"
"暇「な」","ひま「な」","Free (time)"
"易しい","やさしい","Easy"
"明るい","あかるい","Bright, Light"
"新しい","あたらしい","New"
"悪い","わるい","Bad"
"忙しい","いそがしい","Busy"
"強い","つよい","Strong"
"弱い","よわい","Break"
"広い","ひろい","Wide, Spacious"
"少ない","すくない","Few [People], a little"
"小さい","ちいさい","Small, little"
"寒い","さむい","Cold (referring to temporature)"
"寂しい","さびしい","Lonely"
"安い","やすい","Inexpensive"
"嫌い「な」","きらい「な」","Dislike"
"好き「な」","すき「な」","Like"
"大切「な」","たいせつ「な」","Important"
"大丈夫「な」","だいしょうぶ「な」","All right"
"大きい","おおきい","Big, large"
"多い","おおい","Many [People], Much"
"塩辛い","しおからい","Salty (taste)"
"同じ","おなじ","The same"
"古い","ふるい","Old"
"危ない","あぶない","Dangerous"
"冷たい","つめたい","Cold (referring to touch)"
"元気「な」","げんき「な」","Healthy, Cheerful"
"便利「な」","べんり「な」","Convenient"
"低い","ひくい","Low"
"不便「な」","ふべん「な」","Inconvenient"
"下手「な」","へた「な」","Bad at"
"上手「な」","じょうず「な」","Good at"
"むだ「な」","むだ「な」","Wasteful"
"にぎやか「な」","にぎやか「な」","Lively"
"すばらしい","すばらしい","Marvelous, wonderful"
"すてき「な」","すてき「な」","Fine, nice, wonderful"
"すごい","すごい","Great, Awful"
"きれい「な」","きれい「な」","Beautiful, Clean"
"おもしろい","おもしろい","Interesting"
"おいしい","おいしい","Delicious, tasty"
"いろいろ「な」","いろいろ「な」","Various"
"いい（よい）","いい（よい）","Good, prefer"
